00:44:45 [5007ms] frame_data_operations[28]| DEBUG: Splitting Launcher on comma and removing spaces
00:44:45 [5007ms] frame_data_operations[23]| DEBUG: Removing spaces from Launcher
00:44:45 [5007ms] frame_data_operations[28]| DEBUG: Splitting Armor (1 hit)No Cancel (Specials) on comma and removing spaces
00:44:45 [5007ms] frame_data_operations[23]| DEBUG: Removing spaces from Armor (1 hit)No Cancel (Specials)
00:44:45 [5007ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5007ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5008ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5008ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5008ms] frame_data_operations[28]| DEBUG: Splitting Sweep on comma and removing spaces
00:44:45 [5008ms] frame_data_operations[23]| DEBUG: Removing spaces from Sweep
00:44:45 [5008ms] frame_data_operations[28]| DEBUG: Splitting Armor (3 hits), Sweep, No Cancel (Specials) on comma and removing spaces
00:44:45 [5008ms] frame_data_operations[23]| DEBUG: Removing spaces from Armor (3 hits), Sweep, No Cancel (Specials)
00:44:45 [5008ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5008ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5009ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5009ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5009ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5009ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5009ms] frame_data_operations[28]| DEBUG: Splitting Hit Grab on comma and removing spaces
00:44:45 [5009ms] frame_data_operations[23]| DEBUG: Removing spaces from Hit Grab
00:44:45 [5009ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5009ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5010ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5010ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5010ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5010ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5010ms] frame_data_operations[28]| DEBUG: Splitting Projectile on comma and removing spaces
00:44:45 [5011ms] frame_data_operations[23]| DEBUG: Removing spaces from Projectile
00:44:45 [5011ms] frame_data_operations[28]| DEBUG: Splitting 50 Damage Scaling on comma and removing spaces
00:44:45 [5011ms] frame_data_operations[23]| DEBUG: Removing spaces from 50 Damage Scaling
00:44:45 [5011ms] frame_data_operations[28]| DEBUG: Splitting 50 Damage Scaling on comma and removing spaces
00:44:45 [5011ms] frame_data_operations[23]| DEBUG: Removing spaces from 50 Damage Scaling
00:44:45 [5012ms] frame_data_operations[28]| DEBUG: Splitting Tag on comma and removing spaces
00:44:45 [5012ms] frame_data_operations[23]| DEBUG: Removing spaces from Tag
00:44:45 [5012ms] frame_data_operations[28]| DEBUG: Splitting Snapback on comma and removing spaces
00:44:45 [5012ms] frame_data_operations[23]| DEBUG: Removing spaces from Snapback
00:44:45 [5012ms] frame_data_operations[28]| DEBUG: Splitting Sweep Projectile on comma and removing spaces
00:44:45 [5013ms] frame_data_operations[23]| DEBUG: Removing spaces from Sweep Projectile
00:44:45 [5013ms] frame_data_operations[28]| DEBUG: Splitting 85 Damage Scaling (2nd hit),  Projectile on comma and removing spaces
00:44:45 [5013ms] frame_data_operations[23]| DEBUG: Removing spaces from 85 Damage Scaling (2nd hit),  Projectile
00:44:45 [5013ms] frame_data_operations[28]| DEBUG: Splitting Invuln. (Strike), 90 Damage Scaling, Projectile on comma and removing spaces
00:44:45 [5014ms] frame_data_operations[23]| DEBUG: Removing spaces from Invuln. (Strike), 90 Damage Scaling, Projectile
00:44:45 [5014ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5014ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5014ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5014ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5015ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5015ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5015ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5015ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5015ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5016ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5016ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5016ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5016ms] frame_data_operations[28]| DEBUG: Splitting Invuln. (Throw) on comma and removing spaces
00:44:45 [5016ms] frame_data_operations[23]| DEBUG: Removing spaces from Invuln. (Throw)
00:44:45 [5017ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5017ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5017ms] frame_data_operations[28]| DEBUG: Splitting Projectile on comma and removing spaces
00:44:45 [5017ms] frame_data_operations[23]| DEBUG: Removing spaces from Projectile
00:44:45 [5017ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5018ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5018ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5018ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5018ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5018ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5019ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5019ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5019ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5019ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5019ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5020ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5020ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5020ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5020ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5020ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5020ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5020ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5020ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5021ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5021ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5021ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5021ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5021ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5021ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5021ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5022ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5022ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5022ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5022ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5022ms] frame_data_operations[28]| DEBUG: Splitting - on comma and removing spaces
00:44:45 [5023ms] frame_data_operations[23]| DEBUG: Removing spaces from -
00:44:45 [5023ms] frame_data_operations[28]| DEBUG: Splitting Snapback on comma and removing spaces
00:44:45 [5023ms] frame_data_operations[23]| DEBUG: Removing spaces from Snapback
00:44:45 [5023ms] frame_data_operations[28]| DEBUG: Splitting Invuln. (Full),45 Min. Scaling on comma and removing spaces
00:44:45 [5024ms] frame_data_operations[23]| DEBUG: Removing spaces from Invuln. (Full),45 Min. Scaling
00:44:45 [5024ms] frame_data_operations[28]| DEBUG: Splitting Invuln. (Full) on comma and removing spaces
00:44:45 [5024ms] frame_data_operations[23]| DEBUG: Removing spaces from Invuln. (Full)
00:44:45 [5024ms] frame_data_operations[28]| DEBUG: Splitting Invuln. (Full),45 Min. Scaling on comma and removing spaces
00:44:45 [5024ms] frame_data_operations[23]| DEBUG: Removing spaces from Invuln. (Full),45 Min. Scaling
